parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,3.1343961984793918,3.1647,0.030303801520608076,0.009668146463203835
Narra.height_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Talisay.crown_diameter_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Talisay.height_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Banaba.crown_diameter_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Banaba.height_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Kabiki.crown_diameter_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Kabiki.height_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Duhat.crown_diameter_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Duhat.height_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Akleng-parang.crown_diameter_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Akleng-parang.height_m,Species_Morphology,3.1647,3.1647,0.0,0.0
Narra.l0,Species_Allometry,3.1647,3.1647,0.0,0.0
Narra.l1,Species_Allometry,3.1647,3.1647,0.0,0.0
Narra.h0,Species_Allometry,3.1647,3.1647,0.0,0.0
Narra.h1,Species_Allometry,3.1647,3.1647,0.0,0.0
Talisay.l0,Species_Allometry,3.1647,3.1647,0.0,0.0
Talisay.l1,Species_Allometry,3.1647,3.1647,0.0,0.0
Talisay.h0,Species_Allometry,3.1647,3.1647,0.0,0.0
Talisay.h1,Species_Allometry,3.1647,3.1647,0.0,0.0
Banaba.l0,Species_Allometry,3.1647,3.1647,0.0,0.0
Banaba.l1,Species_Allometry,3.1647,3.1647,0.0,0.0
Banaba.h0,Species_Allometry,3.1647,3.1647,0.0,0.0
Banaba.h1,Species_Allometry,3.1647,3.1647,0.0,0.0
Kabiki.l0,Species_Allometry,3.1647,3.1647,0.0,0.0
Kabiki.l1,Species_Allometry,3.1647,3.1647,0.0,0.0
Kabiki.h0,Species_Allometry,3.1647,3.1647,0.0,0.0
Kabiki.h1,Species_Allometry,3.1647,3.1647,0.0,0.0
Duhat.l0,Species_Allometry,3.1647,3.1647,0.0,0.0
Duhat.l1,Species_Allometry,3.1647,3.1647,0.0,0.0
Duhat.h0,Species_Allometry,3.1647,3.1647,0.0,0.0
Duhat.h1,Species_Allometry,3.1647,3.1647,0.0,0.0
Akleng-parang.l0,Species_Allometry,3.1647,3.1647,0.0,0.0
Akleng-parang.l1,Species_Allometry,3.1647,3.1647,0.0,0.0
Akleng-parang.h0,Species_Allometry,3.1647,3.1647,0.0,0.0
Akleng-parang.h1,Species_Allometry,3.1647,3.1647,0.0,0.0
decay_lambda,Cooling_Model,3.1647,3.1647,0.0,0.0
cca_threshold,Cooling_Model,3.1647,3.1647,0.0,0.0
competition_k,Cooling_Model,3.1647,3.1647,0.0,0.0
shade_weight,Weighting,3.1647,3.1647,0.0,0.0
